名称,均价(元/㎡),地址,经度,纬度,片区,类型,建成年份,在售套数
唐南香榭,10962,高新-科技路西口 高新区科技路76号,108.868989,34.230449,高新一期,二手房,2005,17
枫韵蓝湾,10918,高新-科技路西口 西安市科技路与丈八北路交汇处,108.868422,34.233139,高新一期,二手房,2005,16
莱安逸境,13568,高新-高新四路 唐延路北1号,108.884298,34.240290,高新一期,二手房,2011,15
牡丹庄园,10253,高新-大寨路 唐延路北段28号,108.880580,34.244569,高新一期,二手房,2010,15
中国铁建·西派国樾,20256,高新-软件新城 软件新城天谷二路与云水二路交汇处,109.044941,34.361114,软件新城,二手房,2023,15
紫薇公园时光,43035,高新-科技六路 高新科技六路中段6号,108.888662,34.202323,高新二期,二手房,2013,15
风度天城,9901,高新-大寨路 富鱼路45号,108.862388,34.232363,高新一期,二手房,2011,14
天地源·高新宸樾,22422,高新-科技六路 科技六路与鱼化一路交叉口西北80米,108.852313,34.203587,高新二期,二手房,,14
晶鑫华庭,10993,高新-科技路西口 大寨路4号,108.871468,34.238627,高新一期,二手房,2016,14
天琴湾,15827,高新-锦业路 创汇路34号(西安市西南方位),108.843243,34.155428,高新二期,二手房,2017,14
中海·天谷时代,25436,高新-软件新城 丝路软件城 天谷二路与云水三路西北角,108.820920,34.226999,软件新城,二手房,,14
竹园阳光嘉苑,11962,高新-西万路口 西万路37号,108.877316,34.169917,高新二期,二手房,2011,14
黄金嘉园,10817,高新-大寨路 创新路南段80号,108.876280,34.244090,高新一期,二手房,2011,13
绿地国际花都,11524,高新-鱼化寨 科技路西段(富鱼路与西三环交汇处),108.833807,34.235993,高新二期,二手房,2016,13
华洲城领誉,10345,高新-鱼化寨 高新区科技路延伸段与西三环交汇处东北角,108.840497,34.244512,高新二期,二手房,2015,12
群贤庄,20428,高新-高新四路 西桃园群贤路3号群贤庄,108.884169,34.237820,高新一期,二手房,2005,12
万科金域国际住宅,18153,高新-高新一中 西安高新区科技三路,108.887392,34.214345,高新二期,二手房,2018,12
紫薇西棠,12755,高新-鱼化寨 富裕一路与富源二路交汇处西北角,108.823059,34.235958,高新二期,二手房,2018,12
碧桂园高新时代,19680,高新-西万路口 丈八东路与太白南路东南角,108.888844,34.188372,高新二期,二手房,2017,11
德通·昆仑序,,高新-大寨路 丈八北路与科技路十字德通·昆仑序,108.851623,34.237208,高新一期,二手房,2027,11
南飞鸿玖玺大观,16350,高新-大寨路 雁塔区大寨路与经十三路交汇处东南角,108.843906,34.237257,高新一期,二手房,2023,11
